subject,relation,object
The Witches of Eastwick,character role,devil
Debby Bogaert,educated at,Erasmus University Rotterdam
Marcel Lemoine,country of citizenship,Belgium
Jacquelyn Reingold,publisher,Ensemble Studio Theatre
Mostaccino,has part,cinnamon
2021 Moroccan,candidate,Istiqlal Party
Dayananda Saraswati,given name,Nataraja
Heljo,language of work or name,Estonian
Cr1TiKaL,notable work,Hivemind
Kim Dotcom,native language,German
Lady Hyegyeong,of,Joseon
Battle of Cnidus,participant,Conon
nukazuke,uses,rice bran
Vajiralongkorn,noble title,king
MadClip,place of death,Vouliagmeni
Susannah M. Porter,occupation,geobiologist
United Australia Party,chief executive officer,Craig Kelly
Never Look Away,place of publication,75th Venice International Film Festival
Giuseppe Cassella,student of,Felice Sabatelli
Jalisco,contains administrative territorial entity,Chapala
UMass Memorial Health Care,applies to jurisdiction,Massachusetts
Amsterdam Airport Schiphol,language of work or name,Dutch
Beverley McLachlin,academic major,philosophy
Simon Clarke,replaces,Stephen Barclay
Guido Lanfranco,award received,Medal of Merit
Dominic Raab,position held,Lord Chancellor
The Tasmanian News,instance of,newspaper
Stari Majdan,instance of,village
Jean Fleming,occupation,biochemist
Károly Pius Koller,country of citizenship,Hungary
Josephine McGill,place of birth,Kentucky
Magi Dodd,languages spoken written or signed,Welsh
Krista Fischer,languages spoken written or signed,Estonian
Crown Princess Gonghoebin,country of citizenship,Joseon
Altai people,language used,Russian
Josephine McGill,place of death,Kentucky
Selwyn Dewdney,family name,Hanington
Charlotte Transportation Center,instance of,bus station
Globoplay,operating area,Germany
Hobbs & Shaw,set in environment,aircraft
She-Wolf of London,set in environment,mansion
Han Dong,electoral district,Don Valley North
Eleonora Armitage,significant person,Charles Herbert Binstead
Poles,part of,Lechites
Wieke Paulusma,native language,Dutch
Menudo,has part,René Farrait
hydrogen,subclass of,reducing agent
Jones and His New Neighbors,instance of,film
Asmaa Rhlalou,member of political party,Istiqlal Party
The Matrix Resurrections,composer,Tom Tykwer
Lucy Freeland,given name,Nancy
Takehiro Tomiyasu,country for sport,Japan
Federigo Zuccari,award received,Royal Order of the Two-Sicilies
Emran Feroz,country of citizenship,Austria
Dropull,instance of,area
iTunes Store,platform,Microsoft Windows
Susannah M. Porter,occupation,paleontologist
Attilio Biseo,languages spoken written or signed,Italian
Lucy Freeland,family name,Angulo
Miroslav Rada,position played on team / speciality,defender
Clive Sinclair,significant event,Sinclair Vehicles
Hanazono Room,country,Japan
The Insider,original broadcaster,Dubai TV
Jan Hansen,participant in,1988 Winter Olympics
Georgios Kalliergis,ethnic group,Greeks
Cars 3,characters,Mater
The Saga Begins,media franchise,Star Wars
Asmaa Rhlalou,place of birth,Rabat
Rawy Torres,member of,Menudo
Vinícius Rodrigues,country for sport,Brazil
Nichiren Shōshū,instance of,religion
Kim Barnes Arico,occupation,head coach
Oneflare,country,Australia
nukazuke,named after,bran
Ingeborg Marie Raunkiær,place of birth,Varde
Yardena Samuels,occupation,molecular biologist
Warren H. Wilson,given name,Hugh
Codes,located in the administrative territorial entity,Maranchón
Sidharth Shukla,place of death,Mumbai
Afruz Amighi,place of birth,Tehran
Horace Brooks,mother,Maria Gowen Brooks
Parable of the Polygons,copyright status,public domain
Empress Sunmyeong,replaced by,Empress Sunjeong
A20 motorway,direction relative to location,north
Maurice Benayoun,language of work or name,French
Tomáš Wiesner,place of birth,Prague
René Duhamel,languages spoken written or signed,French
Denzel Dumfries,native language,Dutch
Dineke de Groot,place of birth,Amsterdam
Samsung Galaxy Z Flip,has part,front-facing camera
The Wonderful Wizard of Oz,narrative location,Kansas
Bandish,original language of film or TV show,Indonesian
educational stage,subclass of,school
God of War Ragnarök,producer,Cory Barlog
Jyothi Krishna,place of birth,Thrissur
David Komansky,subject has role,board of directors
Artsyom Rakhmanaw,member of sports team,Belarus national football team
former eastern territories of Germany,country,German Empire
TV-6,operating area,Russia
Jungle Cruise,set in environment,boat
Liu Yongjian,occupation,engineer
Fire Emblem Awakening,followed by,Fire Emblem Fates
Simu Liu,educated at,University of Toronto Schools
John Marriott,given name,Ransome
Boomerang,original broadcaster,Cartoon Network
Russian corvette Bashkortostan,operator,Soviet Navy
Queen Inseon,family name,Jang
Clickbait,filming location,Melbourne
Joseph P. Allen,educated at,Yale University
Karen M. Brucks,doctoral advisor,R. Daniel Mauldin
Order of Saint George,country,Austria
Albert Camus,country,Algeria
Queen Inheon,father,Gu Sa-maeng
Anuk Arudpragasam,educated at,Stanford University
Nikolai Ivanovich Kozyrev,country of citizenship,Russia
Friedhelm Hummel,educated at,University of Tübingen
Perseverance,of,Mars
George Longfish,occupation,professor
Chuck D,place of birth,Long Island
Elton John,work location,England
Hermann Kinder,place of death,Konstanz
Joseph P. Allen,occupation,psychologist
Anuk Arudpragasam,place of birth,Colombo
God of War Ragnarök,character role,Brok
Ryan Edmondson,acquisition transaction,loan
Shino Matsuda,place of birth,Chiba Prefecture
Christian IX of Denmark,located in the administrative territorial entity,Copenhagen
Anne Françoise Elisabeth Lange,publisher,Comédie-Française
Respect,character role,Aretha Franklin
Binge,country,Australia
Dipankar Borah,occupation,botanist
Eleonora Armitage,given name,Eleanora
Amadeu Antonio Kiowa,language of work or name,German
2014–15 FC Barcelona season,chairperson,Josep Maria Bartomeu
The 5th Dimension,notable work,Wedding Bell Blues
Louis Dupree,place of birth,Greenville
Lemuel Shaw,father,Oakes Shaw
Konux,headquarters location,Munich
Portrait of Mlle. Lange as Danaë,depicts,sandal
snap,symbol represents,jerk
Daffney,family name,Spruill
Plaine des Sables,instance of,volcanic plateau
Stillwater,place of publication,France
Asmaa Rhlalou,of,Rabat
The Weeknd,occupation,songwriter
Kerry-Lynne Findlay,electoral district,South Surrey—White Rock
Louise Hegermann-Lindencrone,given name,Christiane
Never Say Never Again,set in environment,underwater
Louise Hegermann-Lindencrone,given name,Mette
Ivan Bakaidov,languages spoken written or signed,Russian
T. Rafael Cimino,medical condition,Asperger syndrome
Francis Dubreuil,languages spoken written or signed,French
Ukrainian world,instance of,concept
Ludovic Orban,replaced by,Florin Cîțu
Robbie Dale,place of birth,Littleborough
Federigo Zuccari,replaces,Ferdinando Messia de Prado
Ceres,location,asteroid belt
Roberto Soldado,member of sports team,Levante UD
BMO Harris Financial Center,instance of,building
Philip K. Dick,spouse,Anne Williams Rubinstein
David Ellefson,subject has role,bassist
Griffin Murray,employer,University College Cork
America's Got Talent season 14,cast member,Kodi Lee
Dolly,instance of,sheep
Iyarkai,set in environment,ship
William Kemmler,unmarried partner,Tillie Ziegler
Raniganj,located in the administrative territorial entity,Asansol
Rochester Philharmonic Orchestra,musical conductor,Ward Stare
exposure value,symbol represents,f-number
Natalia Soledad Villa,place of birth,Vicente López
God of War Ragnarök,characters,Brok
lymph heart,found in taxon,Rhipidistia
A20 motorway,terminus,Terbregseplein
Rahimullah Yusufzai,languages spoken written or signed,Urdu
Wu Qiang (born 1966),occupation,politician
Philippa M. Hoskin,given name,Mary
Queen Inyeol,family name,Han
Phil Schaap,place of death,Manhattan
Dominique Rocheteau,country for sport,Germany
Igbo people,instance of,nation
Heidi Engel,languages spoken written or signed,German
Wünschelrute,instance of,poem
Charles V Holy Roman Emperor,replaces,Maximilian I
Kenneth Victor Young,educated at,University of Louisville
Syed Ali Shah Geelani,languages spoken written or signed,Kashmiri
Thunnus maccoyii,IUCN conservation status,Endangered
Victoria F Samanidou,occupation,professor
Albert Jamil Butros,country of citizenship,Jordan
Warren H. Wilson,occupation,sociologist
Chatham Pigeon,endemic to,New Zealand
Clive Sinclair,significant event,Sinclair Research
Menashe Zemro,ethnic group,Beta Israel
Jenica Atwin,electoral district,Fredericton
Stephen Cade Hetherington,occupation,puppeteer
Gertrude Beasley,educated at,University of Chicago
God of War Ragnarök,characters,Sindri
Estadio Ciudad de La Plata,instance of,stadium
Portrait of Mlle. Lange as Danaë,color,red
Royal Consort Huibin Jang,replaced by,Queen Inhyeon
Sian Proctor,occupation,astronaut
University of Lethbridge,publisher,Government of Alberta
12 Angry Men,review score by,Rotten Tomatoes
Marlon Jackson,kinship to subject,twin brother
Hal Cumpston,father,Jeremy Cumpston
Walter Bitterlich,field of work,forestry
2021 Russian legislative election,candidate,New People
Ibrahim Amadou,country of citizenship,France
London Irish RFC,home venue,Brentford Community Stadium
Nicole Ferber,languages spoken written or signed,German
Moshe David Tendler,occupation,professor
Queen Cheol-in,father,Kim Mun-geun
Marshland,located in the administrative territorial entity,Christchurch City
Jacques Borel,languages spoken written or signed,French
hitting for the cycle,has part,home run
Novaya Gazeta,place of publication,Russia
Vun Van,occupation,Paralympic Games
Parviz Mansouri,occupation,composer
Lu Chunfang,occupation,engineer
ex officio member,instance of,rule
Bovichtus diacanthus,taxon author,Dugald Carmichael
Globoplay,operating area,United Kingdom
Gulf Intracoastal Waterway,located in the administrative territorial entity,Mississippi
Craig Whitlock,place of birth,Ithaca
Hsiao-ting Lin,place of birth,Taipei
Ý Lan,occupation,singer
Tony Bennett,given name,Anthony
NFL Network,headquarters location,Inglewood
degree Brix,of,sucrose
librarian,instance of,position
Oihane Valdezate,languages spoken written or signed,Spanish
sectarianism,has quality,prejudice
Megan Thee Stallion,occupation,singer
London Calling,stated in,AllMusic
The Dark Knight,set in environment,ship
Monty Python’s Life of Brian,stated in,Rotten Tomatoes
Shang-Chi and the Legend of the Ten Rings,character role,Wong
Elterwater Bridge,crosses,Great Langdale Beck
squid game,country of origin,Korea
Tashigang,located in the administrative territorial entity,Ngari Prefecture
Muhammad Saeed Al-Hakim,student of,Muhsin al-Hakim
Rabbinic authority,instance of,concept
Ljubomir Fejsa,country for sport,Serbia
Martha Patricia Ramírez Lucero,located in the administrative territorial entity,Baja California
Raniganj,of,Asansol
Francina Susanna Louw,occupation,missionary
Adi Kadi Vav,location,Uparkot Fort
Artsyom Rakhmanaw,country for sport,Belarus
La Primavera Biosphere Reserve,instance of,flora and fauna protection area
Adnan Abu Walid al-Sahrawi,affiliation,Islam
Lorentz force,symbol represents,velocity
Dheva Anrimusthi,languages spoken written or signed,Indonesian
bzip2,programming language,C
Bring It On,distribution format,direct-to-video
transformer,has part,encoder
Georgios Kalliergis,occupation,painter
Supermercados Disco,industry,retail
Mariyappan Thangavelu,sports discipline competed in,high jump
Danny Beath,medical condition,autism
Vojtěch Heger,languages spoken written or signed,Czech
Cornelius Rudolphus Hermans,occupation,archaeologist
University of California Davis,has part,C.N. Gorman Museum
Claudio Gomes,given name,Amarildo
Queen Inwon,replaces,Queen Inhyeon
Nipsey Hussle,place of birth,Crenshaw
Theodore Roosevelt,place of death,Sagamore Hill
STU48,has part,Nana Okada
Jenna Clark,place of birth,Scotland
David Chung,country of citizenship,Germany
Disappeared indigenous women,country,Canada
Ivan Kuliak,languages spoken written or signed,Russian
Devendra Jhajharia,place of birth,Churu district
Solomon Ayllon,place of birth,Safed
Queen Inseong,family name,Park
Rosa 'Jens Munk',creator,Felicitas Svejda
Te Kahui Kaupeka Conservation Park,located in the administrative territorial entity,Canterbury Region
2018 Maluku gubernatorial election,country,Indonesia
Holland,located in the administrative territorial entity,Ottawa County
Federigo Zuccari,place of death,Barra
Festival of the Lion King,set in environment,jungle
Moshe David Tendler,located in the administrative territorial entity,New York
Jolyon Wagg,present in work,Flight 714
Sarah Dash,genre,blues
A. C. Bhaktivedanta Swami Prabhupada,language of work or name,English
Edith Catherine Gould,occupation,writer
Warren Storm,place of birth,Abbeville
Will Bagley,place of death,Salt Lake City
Pioneer Valley,continent,Canada
Nora Cuevas,occupation,politician
HMS Minstrel (J445),operator,Royal Navy
Diablada,country of origin,Bolivia
Skucani Vakuf,instance of,village
Pele Broberg,member of political party,Naleraq
Lady Hyegyeong,languages spoken written or signed,Korean
former eastern territories of Germany,located in the administrative territorial entity,Prussia
Paidy,instance of,business
Irene Baker,academic degree,Bachelor of Science
Gabriel Garzon-Montano,award received,Libera Awards
Pius XII,languages spoken written or signed,Latin
lymph heart,use,pump
Proclamation of Indonesian Independence,signatory,Sukarno
Debby Bogaert,employer,University Medical Center Utrecht
Margaret Miller Davidson,place of death,Saratoga
Federigo Zuccari,given name,Ludovico
Ukraїner,language of work or name,Russian
Institute of Evolutionary Biology,part of,Pompeu Fabra University
Molotov cocktail,has part,bottle
Jurrien Timber,native language,Dutch
The Perfect Storm,set in environment,ship
Gable Steveson,educated at,University of Minnesota
Chen Xiaohong,occupation,engineer
Bala V. Balachandran,occupation,professor
Christian Robert,employer,University of Warwick
Daryl Mundis,doctoral advisor,Christopher Greenwood
Louise O'Neill,country of citizenship,Ireland
Sparco,language of work or name,Italian
Tatakae! Osper,screenwriter,Kōichi Yamano
Aldehuela,located in the administrative territorial entity,Pinofranqueado
Dio come ti amo,stated in,website
Second Call,country,Brazil
Rafael Márquez,member of sports team,New York Red Bulls
Harry Morrey Salmon,award received,Military Cross
Aston Matthews,family name,Lopez
Prisoners of the Ghostland,distributed by,RLJE Films
Aldborough House,located in the administrative territorial entity,Dublin
Prime Minister of Lebanon,officeholder,Najib Mikati
Stortinget,instance of,parliament
Aziz Daneshrad,occupation,engineer
St Michael's Church,located in the administrative territorial entity,South Uist
Jean-Patrice Brosse,language of work or name,French
Wymondley Castle,located in the administrative territorial entity,Hertfordshire
Lawrence Vambe,occupation,writer
devşirme,occupation,eunuch
Cabezo,located in the administrative territorial entity,Ladrillar
Swept Away,stated in,Rotten Tomatoes
Pele Broberg,cabinet,Egede cabinet
Ukraїner,instance of,website
2021 Ryder Cup,location,Whistling Straits
Michael Gove,position held,Lord Chancellor
Hortense Panum,occupation,music historian
2007 Yazidi communities bombings,country,Iraq
Luis Gustavo,place of death,Itatiba
Oliver Dowden,position held,Minister without Portfolio
Edvin Kurtulus,place of birth,Halmstad
Good Guys Wear Black,set in environment,jungle
Sam Dolnick,occupation,television producer
Heinrich Hoffmann,work location,Germany
Nauka,sourcing circumstances,expected
Jamblichus,different from,Iamblichus
